Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","CC0603KRX7R9BB104","C0603",-14.320000,26.530000,-90.000000,top
"C2","CL10A226MP8NUNE","C0603",-14.320000,29.890000,90.000000,top
"C3","CC0603KRX7R9BB104","C0603",10.660000,26.050000,-90.000000,top
"C4","CL10A226MP8NUNE","C0603",10.660000,29.300000,90.000000,top
"C5","CL10B223KB8NNNC","C0603",-26.194800,34.425900,90.000000,top
"C6","CL10B223KB8NNNC","C0603",-26.544800,24.425900,90.000000,top
"C7","CL10A226MP8NUNE","C0603",-5.950000,23.630000,0.000000,top
"C8","CL21A226MAQNNNE","C0805",-24.825000,29.806300,-90.000000,top
"C9","CL10A226MP8NUNE","C0603",-20.066000,35.675900,0.000000,top
"C10","CL10B223KB8NNNC","C0603",-20.066000,33.925900,0.000000,top
"C11","CL10B223KB8NNNC","C0603",-20.416000,23.925900,0.000000,top
"C12","CL21A226MAQNNNE","C0805",-25.028200,19.824100,-90.000000,top
"C13","CL10A226MP8NUNE","C0603",-20.416000,25.675900,0.000000,top
"C14","0603B151K500NT","C0603",-10.600000,49.630000,90.000000,top
"C15","0603B151K500NT","C0603",-24.420000,38.350000,-90.000000,top
"C16","0603B151K500NT","C0603",-17.916000,25.030000,90.000000,top
"C17","0603B151K500NT","C0603",-28.080000,27.710000,-90.000000,top
"C18","CC0603KRX7R9BB104","C0603",14.010000,39.130000,-90.000000,top
"C19","CC0603KRX7R9BB104","C0603",-12.270000,44.990000,90.000000,top
"C20","0603B151K500NT","C0603",-14.760000,23.900000,180.000000,top
"C21","CC0603KRX7R9BB104","C0603",24.110000,38.790000,-90.000000,top
"C22","CC0603KRX7R9BB104","C0603",24.230000,42.830000,90.000000,top
"C23","CC0603KRX7R9BB104","C0603",-12.350000,49.630000,-90.000000,top
"C24","CL10A226MP8NUNE","C0603",-14.100000,49.630000,-90.000000,top
"C25","CL10A226MP8NUNE","C0603",-26.630000,44.600000,0.000000,top
"C26","0603B151K500NT","C0603",-44.110000,11.640000,180.000000,top
"C27","CC0603KRX7R9BB104","C0603",-21.390000,41.270000,90.000000,top
"C28","0603B151K500NT","C0603",1.630000,17.840000,180.000000,top
"C29","0603B151K500NT","C0603",-9.030000,17.350000,0.000000,top
"C30","0603B151K500NT","C0603",12.960000,17.360000,0.000000,top
"C31","0603B151K500NT","C0603",-12.150000,17.350000,180.000000,top
"C32","0603B151K500NT","C0603",9.830000,17.360000,180.000000,top
"C33","0603B151K500NT","C0603",-5.970000,17.350000,180.000000,top
"C34","0603B151K500NT","C0603",17.020000,20.640000,0.000000,top
"C35","0603B151K500NT","C0603",-1.480000,17.840000,0.000000,top
"C36","0603B151K500NT","C0603",6.070000,23.320000,0.000000,top
"C37","0603B151K500NT","C0603",-1.930000,28.970000,90.000000,top
"D1","1N5819WS","SOD-323_L1.8-W1.3-LS2.5-RD",-24.420000,41.850000,-90.000000,top
"D2","1N5819WS","SOD-323_L1.8-W1.3-LS2.5-RD",-21.920000,44.080000,0.000000,top
"D3","1N5819WS","SOD-323_L1.8-W1.3-LS2.5-RD",-27.890000,41.850000,-90.000000,top
"J1","2685Y-106CNG1SNA01","HDR-TH_6P-P2.54-V-F",0.500000,26.000000,0.000000,top
