"Comment","Designator","Footprint","LCSC Part Number"
"0603B151K500NT","C14,C15,C16,C17,C26,C37","C0603","C1594"
"SS8050_C2150","Q2,Q3","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C2150"
"KT-0603R","LED1","LED0603-RD","C2286"
"KT-0603W","LED2","LED0603-R-RD_WHITE","C2290"
"AMS1117-3.3","U8","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","C6186"
"CC0603KRX7R9BB104","C1,C3,C18,C19,C21,C22,C23,C27","C0603","C14663"
"AO3401A","Q1","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","C15127"
"CL10B223KB8NNNC","C10,C11","C0603","C21122"
"0603WAF0000T5E","R31,R32","R0603","C21189"
"0603WAF1000T5E","R3","R0603","C22775"
"0603WAF2702T5E","R6","R0603","C22967"
"0603WAF5100T5E","R1,R2,R10,R18,R19,R22,R23,R26,R27,R28,R30","R0603","C23193"
"0603WAF9102T5E","R15","R0603","C23265"
"0603WAF1002T5E","R4,R5,R7,R8,R9,R11,R12,R20,R21,R24,R25,R29,R40","R0603","C25804"
"0603WAF1103T5E","R13,R16,R17","R0603","C25805"
"CL21A226MAQNNNE","C8,C12","C0805","C45783"
"CL10A226MP8NUNE","C2,C4,C7,C9,C13,C24,C25","C0603","C86295"
"MT2492","U4,U5","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","C89358"
"ZH1.5-6A M","J4,J7","CONN-TH_6P-P1.50_ZH1.5-6A","C146013"
"FNR4030S100MT","L1,L2","IND-SMD_L4.0-W4.0_FNR40XXS","C167879"
"1N5819WS","D1,D2,D3","SOD-323_L1.8-W1.3-LS2.5-RD","C191023"
"TS-1187A-B-A-B","SW2,SW3","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","C318884"
"AECR0603F15K0K9","R14","R0603","C328339"
"SK12D07VG5","SW1","SW-TH_SK12D07VG5","C431548"
"ESP32-S3-WROOM-1-N4","U3","WIFIM-SMD_ESP32-S3-WROOM-1-N8","C2913197"
"USB-MR-D-015","U7,U9","MICRO-USB-SMD_920-C52A2021S10105","C2926986"
"BDR6120H","U1,U2","SOP-8_L4.9-W3.8-P1.27-LS6.0-BL","C3007876"
"1.25-4PLTDK","J13","CONN-SMD_4P-P1.25_SHOU_1.25-4PLTDK","C3008549"
"MX250-3.5-02P-B-GY01-CU-A","J2","CONN-TH_2P-MX250-3.5-02P-B-GY01-CU-A","C7470116"
"CH340K_C18208922","U6","ESOP-10_L4.9-W3.9-P1.00-LS6.0-BL-EP","C18208922"
